GS,Trial,Center_X,Center_Y,Beach_X,Beach_Y,AngleBeach,Date,Weather,Temp,hour,minutes,Dig,Dist_Actual,Dist_StrtLine,Sinuosity,Time,FinalPosition,HeadingMean,StartHeading,Velocity,Start_X,Start_Y,Start_X.T,Start_Y.T,StartLocation,End_X,End_Y,Latency,Animal,Dist_Diff,TOD,Smoky,Year,Latency2,GS.Trial,FinalPosition.Pan,FinalPosition.L,StartHeading.L
1,21,1929.302807,1080.708003,2796.438,1576.279,0.519202770226333,2021-08-10,Sunny,64,10,4,Jesse,22.32324296613465,15.144465822598868,0.6784169238122657,3.3666666666666667,0.583853756274001,0.651799122663902,0.426277092193656,6.630666227564747,1950.931694,966.42637,-37.9266648182036,-109.953028561168,-1.90295192754915,2357.008631,1927.439375,18.7,1,7.178777143535783,10:04:00,Not Smoky,2021,2.930304468231536,1.21,1.1030565265003338,0.23490747275589996,0.17650344214059022
1,22,1932.356796,1187.612977,2512.052399,381.229966,-0.947508844460475,2021-08-09,Sunny,66,12,36,Jesse,21.18787801237963,12.086640306725682,0.5704507218544355,3.1,3.75434122367724,-2.34080077625177,-2.24759299820456,6.8347993588321385,1864.397071,1376.051416,-192.673823281975,54.8121093987308,2.86443324921164,1040.707384,1497.775329,13.3,1,9.101237705653949,12:36:00,Not Smoky,2021,2.5902671654458267,1.22,2.8068323792167624,2.8777903670204488,2.4973666482576298
1,23,2191.030615,1176.475154,1556.333818,1912.776318,2.28221993449193,2021-08-10,Sunny,70,11,26,Magdalena,13.430686735304775,11.78143712712109,0.8772028831669224,1.8333333333333333,0.856611974634728,0.629142446268491,0.898021691122179,7.325829128348059,2017.180356,993.925814,-24.7598765735024,250.868735797962,1.66917426037845,1226.985491,1179.136643,22.7,1,1.6492496081836858,11:26:00,Not Smoky,2021,3.123832276181307,1.23,3.138831909126656,0.5076656911166273,0.6482480410691132
1,24,2055.171213,972.422802,2818.327788,1557.56433,0.654127964618816,2021-08-11,Sunny,70,10,20,Ada,25.840590188827928,15.950932552957045,0.6172820526310334,3.3,-0.358132085021257,-0.264849238549179,-1.25967283622361,7.830481875402403,1920.5,824.346154,-196.972044121955,-35.5674447806674,-2.96294666174611,2937.13,1241.38,0.03333333333333333,1,9.889657635870883,10:20:00,Not Smoky,2021,-2.70805020110221,1.24,0.29599587959755946,0.7070783685393573,1.5094464862766808
1,25,2077.136206,1027.42635,2694.569968,1676.028627,0.810012170669685,2021-08-11,Sunny,72,11,2,Jesse,19.51241677693681,13.835556000996942,0.709064190210934,2.8666666666666667,0.711655517375649,0.429892748382054,2.76571944960981,6.806657015210515,1810.152158,993.855655,-208.397834760261,170.228716486039,2.45666447180424,2119.806428,1895.268155,11.866666666666667,1,5.676860775939868,11:02:00,Not Smoky,2021,2.4765384001174837,1.25,1.5216676880453337,0.36270923385754816,2.5159457995567447
1,26,2012.941021,1003.808931,2791.765042,451.654761,-0.616713333038608,2021-08-12,Sunny,70,9,29,Muaz,18.257635923599135,14.039780283719404,0.7689812822684295,1.8,3.3818174782427,-2.63192018398871,-2.07398510630009,10.143131068666186,2078.159273,1254.879284,-92.0043275100444,242.538545944567,1.93336560765619,1116.51,1358.21,14.6,1,4.2178556398797316,09:29:00,Not Smoky,2021,2.683302031413016,1.26,2.7651041452040968,3.0328711947246045,2.323758756353156
1,28,1950.539419,1089.653631,2924.929752,941.552632,-0.150839010326628,2021-08-12,Sunny,75,11,49,Jesse,19.334918551686197,13.002179566277842,0.672471390635567,4.966666666666667,0.763208383225679,0.89483681549774,0.44498438734601,3.8929366211448717,2068.866784,1029.10692,126.08201228401,-42.0784469672476,-0.322115340691122,2727.897476,1635.709965,12.866666666666667,1,6.332738985408355,11:49:00,Not Smoky,2021,2.5572273113676265,1.28,0.6123693728990507,0.4142620997075781,0.19521073729294436
1,29,2134.135078,1012.038462,1649.718976,192.554382,-2.1046632454994,2021-08-14,Cloudy,64,10,5,Ada,15.269276612392321,12.786383962302466,0.8373929090999127,2.433333333333333,1.530759833337,1.53693966534895,1.31246246594714,6.275045183174927,2157.1,990.71,6.67444922089266,30.6225841716413,1.35619420946815,2899.76,517.07,0.5333333333333333,1,2.4828926500898554,10:05:00,Smoky,2021,-0.5679840376059393,1.29,-0.5739034121623974,1.1818135498188997,1.0626888158940782
1,3,1621.572491,898.703639,1813.572817,1682.09202,1.330444552268,2021-07-21,Sunny,61,12,40,Magdalena,17.946444428639715,9.488888502425128,0.5287336185257036,4,-0.0297099841867869,0.315218238029511,-0.805218196379877,4.486611107159929,1879.69273,1002.667493,162.419392488557,-225.952388045797,-0.947549976176654,1830.7998,1654.515403,4.4,1,8.457555926214587,12:40:00,Not Smoky,2021,1.4891517465595985,1.3,1.3007345680812177,0.3786562677048879,1.0549918464329435
1,30,2138.017168,998.302212,1642.347253,181.194218,-2.11606556058101,2021-08-14,Cloudy,63,10,44,Magdalena,20.07667135028897,11.390176286111934,0.5673339014909956,5.566666666666666,0.255461503133086,0.0499249639218309,2.04542856166911,3.6065876677165813,2249.31,811.12,102.316647731246,192.235736898302,1.08168614257665,1876.335598,120.775117,6.533333333333333,1,8.686495064177034,10:44:00,Smoky,2021,1.882006347075833,1.30,-1.8606040574479235,0.0934847803850154,1.7956549116160474
1,31,2134.911709,1003.343266,1648.226651,170.320425,-2.09954680003938,2021-08-14,Cloudy,66,11,25,Magdalena,13.355565041841764,11.93163088679564,0.8933827097105164,1.8666666666666667,-0.184463411978268,-0.340953831066626,-1.14758642958138,7.154766986700945,2154.601455,830.304954,139.47527908856,104.290891455209,0.642051512383579,1526.512844,300.099646,9.2,1,1.4239341550461244,11:25:00,Smoky,2021,2.222820124525183,1.31,-2.2840102120176495,0.5334096954963687,1.3973600796344474
1,34,1972.266972,1185.734708,2751.323697,1748.903614,0.625920890497212,2021-08-17,Cloudy,57,8,38,Ada,22.39421929042612,12.748829640596405,0.5692910958519877,6.8,0.652230767005477,0.461551747922881,-3.04438835002995,3.2932675427097235,1835.454261,1308.636558,-38.8750088547622,179.753487618833,1.78378458052655,2243.6,2086.29,20.5,1,9.645389649829713,08:38:00,Smoky,2021,3.0220495818713644,1.34,1.2781516575026888,0.303284483487376,2.989023307096567
1,5,2097.382,944.6838,2985.68778,1230.522057,0.311315975704188,2021-07-27,Sunny,66,11,10,Ada,14.871537634280708,10.406493685651048,0.6997590929442837,2.2333333333333334,0.77740405009368,0.556384073130138,2.73639760367822,6.6588974481853915,2020.26,1136.28,-14.7267030169225,206.009783643135,1.64216038568465,2483.78987,1683.156489,11.3,1,4.46504394862966,11:10:00,Not Smoky,2021,2.4277482359480516,1.5,1.0887200257978682,0.42845776657557977,2.4866239536251538
1,6,1901.643,1154.604,2233.776789,185.749264,-1.24054051294326,2021-07-27,Sunny,66,11,40,Magdalena,20.73677594707576,13.955376769424392,0.6729771689215911,3.8666666666666667,0.366407095745482,0.305680575283425,-0.043120982037901,5.362959296657524,1857.538544,1298.250368,-150.186049425794,4.86134102077064,3.10923515899682,2428.526337,524.812597,16.433333333333334,1,6.781399177651368,11:40:00,Not Smoky,2021,2.8013381355257674,1.6,-0.8741334171977775,0.01746081222738116,0.29289463209096755
1,7,1782.04,1176.13,1443.831001,233.273601,-1.91520660324634,2021-07-30,Sunny,64,10,29,Jesse,15.686421909914694,10.81738055733614,0.6896015305121272,3.9,0.287187854394187,0.225254490875103,0.367766060600091,4.022159464080691,1818.86,1012.41,141.673533704619,89.9364255885581,0.565625884176039,1730.275397,272.49661,5.9,1,4.869041352578554,10:29:00,Not Smoky,2021,1.7805861686299298,1.7,-1.6280187488521496,0.06175842912391438,0.11799241054702403
1,8,2243.097,970.1264,2354.812426,1953.667153,1.45769610493895,2021-07-30,Sunny,64,10,52,Magdalena,29.306254390797267,10.248452867490371,0.34970190085801567,5.933333333333334,0.645242201961749,0.517777389896169,-1.8701065465365,4.93925635799954,2040.14,1137.94,143.83586099233,220.599622136021,0.993000805844146,1762.170467,1786.920228,9.5,1,19.057801523306896,10:52:00,Not Smoky,2021,2.2547944291576973,1.8,2.1029383069006977,0.296295918443648,2.119880196589568
1,9,1893.936,1103.608,1447.82437,237.9607,-2.04664865904746,2021-07-30,Sunny,72,11,12,Magdalena,26.68811080435686,12.538259610928623,0.469806937735051,4.833333333333333,0.971969254787241,0.677001517597575,1.96617764778159,5.521678097453144,2162.38,1135.16,-151.019845420913,224.166715033797,2.16364846955185,2334.952699,288.828415,20.366666666666667,1,14.149851193428237,11:12:00,Not Smoky,2021,3.0155349008501706,1.9,-1.0746794042602177,0.6230229712691404,1.7164039977285208
1,101,2048.784036,1099.22111,1468.832564,1881.707659,2.20861887419295,2023-07-20,Sunny,73,11,56,Magdalena,21.667410102757035,13.948414974262011,0.6437509101508707,2.966666666666667,-1.06285922051725,-1.28964112230937,2.95371068957459,7.3036213829518095,1847.536093,1178.541121,183.557823221317,114.450531851202,0.557528680688636,2430.444304,1942.431928,23.4,1,7.718995128495024,11:56:00,Not Smoky,2023,3.1541595101485096,1.101,1.1457596536756958,1.411805504035355,2.703937039521527
1,1,1686.102066,910.436609,1586.1416,124.331684,-1.69727672561759,2021-07-17,Sunny,64,10,31,Magdalena,8.50082986507113,7.3283026120481,0.8620690836501973,1.4666666666666666,0.177733475287063,0.151630470244081,0.0688361639214359,5.796020362548498,1711.21,678.18,227.234144652385,54.2050207824535,0.234166487934925,1723.905389,173.501029,5.3,1,1.1725272530230306,10:31:00,Not Smoky,2021,1.6739764335716716,1.1,-1.5195432503305297,0.17121280823103735,0.1809374861316302
1,27,2113.228758,1010.522108,2874.251916,453.005431,-0.632264189036899,2021-08-12,Sunny,72,10,51,Magdalena,11.581603995717874,10.944232994284299,0.9449669491661749,1.6,-0.519336731385491,-0.677983872316426,-0.0219928314947226,7.238502497323671,2286.382274,914.57575,196.38315537023,24.9299017940006,0.126269821955064,2480.604005,186.085882,12.333333333333334,1,0.637371001433575,10:51:00,Not Smoky,2021,2.51500468094528,1.27,-1.1516009204223896,0.8682830149035912,0.2717664815477887
1,2,1694.647121,912.487125,953.160871,542.656179,-2.67892969161906,2021-07-18,Sunny,63,10,34,Magdalena,15.350925504970338,10.302836118002901,0.6711540691580478,6.2,0.765928247297998,0.831447953360449,2.32435203960887,2.475955726608119,1619.179507,839.111312,100.283508792634,31.9779386531047,0.308682425676348,1425.297815,156.354931,0.03333333333333333,1,5.048089386967437,10:34:00,Not Smoky,2021,-2.70805020110221,1.2,-1.9130014443210603,0.4169819637798975,2.074578389555807
